di-1353,57,22.6,7/24/2018 13:56:30,,crystal_dark,,0.0662,0.0701,0.0487,0.053,0.0441,0.0615,0.0541,0.0301,0.0509,0.04,0.0356,0.0415,No Comment
di-1355,57,22.8,7/24/2018 14:13:30,355,crystal_rad,1 mCi Cs^137,0.2314,0.2474,0.2063,0.223,0.29,0.3227,0.3045,0.1701,0.181,0.1773,0.1535,0.1508,No Comment
di-1363,57,22.6,7/25/2018 16:43:30,355,crystal_rad,1 mCi Cs^137,0.2365,0.2433,0.2009,0.218,0.2877,0.3218,0.31,0.1724,0.1847,0.1685,0.1616,0.1553,No Comment
di-1367,57,22.5,7/24/2018 15:19:30,355,crystal_rad,1 mCi Cs^137,0.2308,0.2431,0.2025,0.219,0.2932,0.3225,0.2944,0.1614,0.1799,0.1784,0.161,0.1558,No Comment
di-1372,57,22.9,7/27/2018 10:47:30,355,crystal_rad,1 mCi Cs^137,0.2377,0.2411,0.1963,0.206,0.2804,0.3107,0.2977,0.1669,0.1845,0.1702,0.154,0.1531,No Comment
di-1373,57,22.8,7/27/2018 10:29:30,355,crystal_rad,1 mCi Cs^137,0.2409,0.2479,0.1996,0.214,0.2901,0.3171,0.302,0.171,0.1841,0.1736,0.1598,0.1531,No Comment
di-1377,57,22.8,7/27/2018 10:56:30,355,crystal_rad,1 mCi Cs^137,0.2278,0.2446,0.2019,0.221,0.2886,0.3206,0.2939,0.1643,0.18,0.1787,0.1559,0.1535,No Comment
di-1380,57,22.6,7/25/2018 17:46:30,355,crystal_rad,1 mCi Cs^137,0.2359,0.2503,0.2084,0.226,0.2943,0.3251,0.3123,0.1756,0.1901,0.1743,0.1575,0.1497,No Comment
di-1381,57,22.6,7/25/2018 17:34:30,355,crystal_rad,1 mCi Cs^137,0.2415,0.2516,0.2039,0.22,0.2964,0.3291,0.316,0.1747,0.1783,0.1707,0.154,0.151,No Comment
di-1383,57,22.6,7/25/2018 17:29:30,,crystal_dark,,0.0717,0.0756,0.0523,0.056,0.0541,0.0632,0.0598,0.033,0.0497,0.0439,0.0331,0.0424,No Comment
di-1384,57,22.6,7/25/2018 17:42:30,355,crystal_rad,1 mCi Cs^137,0.2259,0.2486,0.2051,0.224,0.2968,0.325,0.3102,0.1699,0.1794,0.1737,0.1554,0.1509,No Comment
di-1386,57,22.9,7/27/2018 10:36:30,355,crystal_rad,1 mCi Cs^137,0.2325,0.2448,0.2078,0.224,0.2972,0.3278,0.293,0.1647,0.183,0.183,0.1564,0.1542,No Comment
di-1387,57,23,7/27/2018 10:08:30,,crystal_dark,,0.0718,0.0736,0.0512,0.056,0.0503,0.0627,0.0588,0.033,0.0517,0.0428,0.0349,0.0457,No Comment
di-1393,57,23,7/27/2018 9:41:30,,crystal_dark,,0.0746,0.076,0.0534,0.058,0.0496,0.0631,0.0613,0.0327,0.058,0.041,0.0339,0.0443,No Comment
di-1396,57,22.9,7/27/2018 15:44:30,355,crystal_rad,1 mCi Cs^137,0.2349,0.2463,0.2006,0.212,0.2905,0.3259,0.3102,0.1718,0.1918,0.1705,0.1519,0.1552,No Comment
di-1398,57,23.1,7/27/2018 15:38:30,355,crystal_rad,1 mCi Cs^137,0.2356,0.2425,0.199,0.212,0.2863,0.3159,0.2978,0.1665,0.1753,0.1745,0.1523,0.1528,No Comment
di-1402,57,22.9,7/27/2018 14:58:30,355,crystal_rad,1 mCi Cs^137,0.2201,0.2322,0.1986,0.21,0.2891,0.3197,0.2868,0.1559,0.1848,0.1685,0.1561,0.1531,No Comment
di-1405,57,22.8,7/31/2018 11:48:30,,crystal_dark,,0.0744,0.0757,0.0532,0.059,0.0539,0.0629,0.0585,0.0306,0.0519,0.0409,0.036,0.0442,No Comment
di-1406,57,23,7/31/2018 10:52:30,355,crystal_rad,1 mCi Cs^137,0.2288,0.2401,0.2014,0.217,0.2878,0.3158,0.2926,0.1645,0.1811,0.1735,0.1504,0.1468,No Comment
di-1413,57,22.9,7/31/2018 11:13:30,,crystal_dark,,0.0718,0.0734,0.0518,0.057,0.0558,0.0724,0.0597,0.0319,0.0475,0.0413,0.0362,0.0415,No Comment
di-1419,57,22.7,7/31/2018 14:28:30,,crystal_dark,,0.0736,0.0735,0.0524,0.055,0.0494,0.0623,0.0565,0.0327,0.0482,0.0427,0.0306,0.0402,No Comment
